ID,Date,runoff
286,01/10/2013,92.18742855
287,01/11/2013,48.17788504
288,01/12/2013,22.92583858
289,01/01/2014,40.69059045
290,01/02/2014,27.24356973
291,01/03/2014,20.673218
292,01/04/2014,22.79701967
293,01/05/2014,22.02163874
294,01/06/2014,10.72256065
295,01/07/2014,41.9419459
296,01/08/2014,87.0574953
297,01/09/2014,130.191059
298,01/10/2014,61.55814595
299,01/11/2014,18.44540061
300,01/12/2014,21.87346285
301,01/01/2015,46.3750932
302,01/02/2015,32.7889945
303,01/03/2015,11.91013918
304,01/04/2015,10.79428753
305,01/05/2015,19.54026076
306,01/06/2015,63.98032153
307,01/07/2015,114.5783954
308,01/08/2015,220.2456358
309,01/09/2015,282.1563662
310,01/10/2015,180.8090308
311,01/11/2015,114.2891095
312,01/12/2015,62.9623582
313,01/01/2016,48.05914706
314,01/02/2016,21.51490846
315,01/03/2016,13.15161574
316,01/04/2016,26.75047972
317,01/05/2016,71.82774895
318,01/06/2016,80.52169782
319,01/07/2016,202.4049009
320,01/08/2016,252.007113
321,01/09/2016,291.7664794
322,01/10/2016,283.7560417
323,01/11/2016,89.07787218
324,01/12/2016,43.66263597
325,01/01/2017,23.57871148
326,01/02/2017,11.08302125
327,01/03/2017,0
328,01/04/2017,42.15273179
329,01/05/2017,87.42674913
330,01/06/2017,139.2459159
331,01/07/2017,213.8098296
332,01/08/2017,292.7648615
333,01/09/2017,368.0602632
334,01/10/2017,238.1575443
335,01/11/2017,92.93681806
336,01/12/2017,59.39451865
337,01/01/2018,49.53133305
338,01/02/2018,24.63536198
339,01/03/2018,11.22578355
340,01/04/2018,5.508384164
341,01/05/2018,15.11617509
342,01/06/2018,18.66884226
343,01/07/2018,52.66308638
344,01/08/2018,315.1494988
345,01/09/2018,170.2334965
346,01/10/2018,38.48498464
347,01/11/2018,25.31010179
348,01/12/2018,10.41249685
